pl_name,hostname,pl_orbper,pl_tranmid,pl_tranmiderr1
TRAPPIST-1 d,TRAPPIST-1,4.049219,2457670.1463014,1.84e-05
TOI-4602.01,TOI-4602,3.9812091,2460655.201888,0.0018169
HATS-26 b,HATS-26,3.3023881,2456867.4232,0.0012
K2-190 b,K2-190,10.098858,2457224.76792,0.002603
TOI-270 b,TOI-270,3.35992,2458461.01464,0.00084
WASP-186 b,WASP-186,5.026799,2456237.1195,0.0009
LP 791-18 c,LP 791-18,4.9899093,2458771.055182,9.1e-05
TOI-2076 c,TOI-2076,21.015327,2458748.68944,0.00063
TOI-261.01,TOI-261,3.3639254,2458383.915624,0.00176224
TOI-1054.01,TOI-1054,15.5077855,2460122.700139,0.0199476
HIP 29442 c,TOI-469,3.5379559,2458471.36,0.0033
K2-117 c,K2-117,5.444017,2457143.5663,0.00358
HD 18742 b,HD 18742,766.0,,
Kepler-873 b,Kepler-873,20.5533844,2454972.55817,0.00288
TOI-3837 b,TOI-3837,11.88865,2458876.2853,0.0014
K2-136 b,K2-136,7.9752,2457817.7563,0.0046
HAT-P-51 b,HAT-P-51,4.21802091,2458349.53123,0.00013
Kepler-1297 b,Kepler-1297,1.68189002,2454966.08175,0.0048
Kepler-80 f,Kepler-80,0.9867873,2454966.17036,0.00025
Kepler-113 c,Kepler-113,8.92507,2454972.71374,
WASP-8 c,WASP-8,4323.0,,
Wendelstein-1 b,Wendelstein-1,2.663416,2455367.738464,1.4e-05
HATS-17 b,HATS-17,16.254611,2457139.1672,0.0014
TOI-3894 b,TOI-3894,4.33454,2459250.50777,0.00037
Kepler-1016 b,Kepler-1016,1.954524342,2454965.29717,0.00137
WASP-68 b,WASP-68,5.0843,2456802.08922,0.0003
HAT-P-56 b,HAT-P-56,2.79083,2456774.09164,0.00011
TOI-6716 b,TOI-6716,4.7185898,2459632.34484,0.00062
HD 191939 f,HD 191939,2898.0,2460449.0,43.0
HD 235088 b,HD 235088,7.4341325,2458705.64614,0.00062
HIP 55507 b,HIP 55507,5138.43727,,
WASP-79 b,WASP-79,3.662392,2458160.186968,3.9e-05
HD 77946 b,HD 77946,6.527363,2458875.9989,0.0021
TOI-1136 d,TOI-1136,12.5199,2458686.0628,0.00043
OGLE-2019-BLG-0299L b,OGLE-2019-BLG-0299L,,,
TOI-199 c,TOI-199,273.69,,
TOI-500 e,TOI-500,61.3,2458865.82,1.16
Kepler-1651 b,Kepler-1651,9.87863917,2454961.53395,0.00126
Kepler-1354 b,Kepler-1354,76.613377,2454986.7999,0.0103
HD 100546 b,HD 100546,,,
HD 158996 b,HD 158996,820.2,,
Kepler-610 b,Kepler-610,6.996926554,2455008.914244,0.000629
Kepler-1053 b,Kepler-1053,2.414351654,2454965.428855,0.000881
Kepler-1932 b,Kepler-1932,0.524177015,2454964.6014,0.00115
Kepler-340 c,Kepler-340,22.824669,2454977.46616,0.00945
Kepler-940 b,Kepler-940,59.6225257,2454971.13385,0.00436
Kepler-524 c,Kepler-524,1.88897906,2454965.0974,0.00543
Kepler-534 c,Kepler-534,7.378689766,2454968.8196,0.0038
Kepler-647 b,Kepler-647,16.2254649,2454977.02782,0.00788
GJ 317 c,GJ 317,6500.0,2462735.0,179.0
Kepler-130 b,Kepler-130,8.457458,2454972.06666,0.00269
Kepler-1955 b,Kepler-1955,14.26519966,2454976.22024,0.00528
K2-154 b,K2-154,3.67626,2457585.0533,0.0037
Kepler-1869 c,Kepler-1869,1.716828304,2454965.03204,0.00439
Kepler-537 b,Kepler-537,3.247555219,2455004.27746,0.00127
Kepler-1546 b,Kepler-1546,19.5974971,2454968.2547,0.00732
HD 106515 A b,HD 106515 A,3626.0,,
Kepler-1030 b,Kepler-1030,19.32952416,2454966.26821,0.0028
TOI-125 d,TOI-125,19.98,2458342.8516,0.0039
HATS-13 b,HATS-13,3.0440499,2456340.31705,0.00026
WASP-47 e,WASP-47,0.78961,2457012.13666,3e-05
TOI-4379 b,TOI-4379,3.25352,2459734.269,0.048
TOI-198 b,TOI-198,10.2152,2459480.048,0.0004
K2-28 b,K2-28,2.260455,2456977.99012,0.00075
L 98-59 c,L 98-59,3.6906764,2458367.27303,0.00015
TOI-500 d,TOI-500,26.233,2458587.22,0.22
HD 155918 b,HD 155918,1.87567,,
Kepler-1866 b,Kepler-1866,11.66009998,2454973.62517,0.00696
TOI-4582 b,TOI-4582,31.034,2458712.177,0.004
TOI-2274 b,TOI-2274,2.67963,2458685.3661,0.0009
TOI-1751 b,TOI-1751,37.46852,2458733.635,0.002
HATS-67 b,HATS-67,1.6091788,2457796.88127,0.00043
TOI-4145 A b,TOI-4145 A,4.0664428,2458925.88211,0.00017
TOI-1180 b,TOI-1180,9.686760378,2459950.32735,0.00047
WASP-178 b,WASP-178,3.3448285,2456927.06839,0.00047
HD 25463 b,HD 25463,7.0491423,2458442.61823,0.00084
Kepler-1990 b,Kepler-1990,1.73513619,2454968.060047,0.000136
Kepler-633 c,Kepler-633,23.78319931,2455012.75013,0.00388
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,,,
Kepler-397 c,Kepler-397,135.498527,2455066.69038,0.00246
Kepler-781 b,Kepler-781,13.2140732,2454973.58725,0.00229
Kepler-1021 b,Kepler-1021,13.47469571,2454966.49237,0.00209
TOI-5592 b,TOI-5592,2.6085846,2459794.01216,0.00032
TOI-1338 c,TOI-1338 A,215.79,2459208.7,29.1
K2-232 b,K2-232,11.168454,2457825.34978227,9.3e-05
TRAPPIST-1 c,TRAPPIST-1,2.421937,2457282.8113871,3.8e-06
Kepler-1952 b,Kepler-1952,27.21080017,2454965.3697,0.0142
Kepler-216 c,Kepler-216,17.406669,2455004.00607,0.00172
HD 153950 b,HD 153950,499.39999,,
Kepler-1431 b,Kepler-1431,5.86601526,2454969.35597,0.00603
GJ 806 c,GJ 806,6.64064,2459422.182,0.05
WASP-42 b,WASP-42,4.9816819,2455650.56728,0.00015
TOI-1775 b,TOI-1775,10.2405549,2458877.5645,0.00047
TOI-2796 b,TOI-2796,4.8084983,2459026.48882,0.00045
HD 28109 b,HD 28109,22.891054,2458344.815,0.0039
GJ 849 b,GJ 849,1925.31,2453906.0,12.0
Kepler-347 b,Kepler-347,12.79836,2454966.64816,0.00481
HATS-31 b,HATS-31,3.37796,2456960.1476,0.0011
TOI-2427 b,TOI-2427,1.3060011,2459169.6202,0.0004
HD 110067 d,HD 110067,20.519617,2459708.20282,0.0008
Kepler-1514 c,Kepler-1514,10.514181,2454957.0546,0.0034
Kepler-68 e,Kepler-68,3455.0,2457791.0,134.0
TOI-332 b,TOI-332,0.777038,2459062.4447,0.0006
TOI-880.02,TOI-880,2.57571,2459400.6128,0.02
WASP-123 b,WASP-123,2.97764359,2456845.1735,0.0004
EPIC 246851721 b,EPIC 246851721,6.180235,2457865.11032,0.0001
HD 80653 b,HD 80653,0.719573,2458134.4244,0.0007
TOI-6130 b,TOI-6130,2.392679,2459849.63919,0.00016
WASP-166 b,WASP-166,5.44354,2457664.3289,0.0006
HD 23472 b,HD 23472,17.667087,2458360.6641,0.0012
Kepler-396 b,Kepler-396,42.994,2454995.498417,0.00079
K2-338 b,K2-338,3.850614,2457141.526349,0.001912
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,,,
CoRoT-7 b,CoRoT-7,0.85359163,2454398.07756,0.00045
K2-34 b,K2-34,2.9956348,2457141.3514834,6.89e-05
K2-43 c,K2-43,2.198884,2456810.4059,0.0099
TOI-1422 c,TOI-1422,34.5633,2458756.3525,0.0062
TOI-1683.01,TOI-1683,3.0575356,2458816.411524,0.00050749
TOI-5143 c,TOI-5143,5.2097118,2459527.24264,0.0003
NGTS-25 b,NGTS-25,2.823093,2458204.26373,0.0005
HD 34445 f,HD 34445,676.8,,
TOI-5726.01,TOI-5726,5.491125215,2458843.5951,0.0023
TOI-1260 b,TOI-1260,3.127463,2459065.564269,0.000396
WASP-184 b,WASP-184,5.1817,2457630.008,0.001
TOI-3976 A b,TOI-3976 A,6.607662,2459011.15791,0.00077
HD 156846 b,HD 156846,359.51001,,
Kepler-399 c,Kepler-399,26.67569,2454982.99908,0.0043
Kepler-1802 b,Kepler-1802,15.45020008,2455009.80202,0.00501
TOI-4155 b,TOI-4155,3.320729,2459803.9384,0.0022
TOI-431 c,TOI-431,4.8494,2458625.9,0.1
TOI-5716 b,TOI-5716,6.7663,2458683.61514,0.00164
WASP-171 b,WASP-171,3.8186244,2458059.8295,0.0011
TOI-4342 c,TOI-4342,10.688716,2458659.34623,0.00096
HATS-42 b,HATS-42,2.292102,2456768.60734,0.00069
WASP-151 b,WASP-151,4.5334775,2457763.676241,4e-05
HD 63433 d,HD 63433,4.209075,2459373.82345,0.00113
HD 35843 b,HD 35843,9.8991,2459889.691,0.3094
WASP-130 b,WASP-130,11.55098,2456921.14307,0.00025
Kepler-1099 b,Kepler-1099,2.168452593,2454965.14076,0.00106
Kepler-289 b,Kepler-289,34.5383,2454965.6879,0.0006
TOI-277 b,TOI-277,3.994,2459119.8264,0.0017
KOI-94 c,KOI-94,10.423648,2454971.0087,0.00103
TOI-2986 b,TOI-2986,3.2783662,2459537.62548,0.00072
mu2 Sco b,mu2 Sco,,,
Kepler-1863 b,Kepler-1863,44.99760056,2454993.2298,0.0101
KOINTREAU-1 b,XEST 17-036,,,
TOI-2411 b,TOI-2411,0.7826942,2459116.0139,0.001
TOI-3082 b,TOI-3082,1.926907,2459309.1199,0.001
XO-2 S b,XO-2 S,18.157,,
Kepler-475 b,Kepler-475,3.105508189,2454966.210436,0.000275
Kepler-1836 b,Kepler-1836,5.254169941,2454966.72952,0.00335
Kepler-896 c,Kepler-896,29.5422566,2454970.57837,0.00871
Barnard e,Barnard's star,6.7392,,
Kepler-385 b,Kepler-385,10.043686,2455186.62503,0.00531
EPIC 201238110 b,EPIC 201238110,28.1656,2456852.6572,0.0023
Kepler-691 b,Kepler-691,8.114379,2455009.33925,0.00109
Kepler-20 g,Kepler-20,34.94,,
Kepler-332 b,Kepler-332,7.626324,2454969.01672,0.00221
Kepler-1041 b,Kepler-1041,24.7576421,2454975.06892,0.00396
Kepler-1578 b,Kepler-1578,1.450886907,2454965.23033,0.00368
Kepler-1966 b,Kepler-1966,8.617429733,2454966.51693,0.00647
Kepler-1987 d,Kepler-1987,5.644914154,2455189.73699,0.0011
Kepler-819 b,Kepler-819,33.1995648,2454986.66308,0.0031
Kepler-887 c,Kepler-887,7.63846023,2454971.24467,0.00535
Kepler-306 d,Kepler-306,17.326644,2455193.50885,0.00396
Kepler-177 c,Kepler-177,49.40926,2455031.238871,0.000888
Kepler-635 b,Kepler-635,23.44971004,2455015.92292,0.00252
Kepler-1083 b,Kepler-1083,33.4177993,2454988.58942,0.00477
Kepler-79 d,Kepler-79,52.0902,2455721.011,0.002
Kepler-195 c,Kepler-195,34.096863,2454986.81712,0.00551
Kepler-1661 b,Kepler-1661,175.06,2456007.1,0.4
HATS-25 b,HATS-25,4.2986432,2456870.36872,0.00051
TOI-836 b,TOI-836,3.81673,2458599.9953,0.0019
Proxima Cen b,Proxima Cen,11.18465,2457897.9,0.3
K2-413 b,K2-413,0.8094,2457738.6924,0.0017
Kepler-212 b,Kepler-212,16.257582,2454972.64774,0.01064
Kepler-195 b,Kepler-195,8.307872,2455004.1712,0.00133
K2-83 c,K2-83,9.99767,2457066.2703,0.0029
Kepler-24 d,Kepler-24,4.244384,2454970.06411,0.0068
Kepler-15 b,Kepler-15,4.942782,2454969.328651,8.4e-05
Kepler-83 d,Kepler-83,5.169796,2455005.631,0.0017
Kepler-143 c,Kepler-143,27.082511,2455024.80613,0.00333
Kepler-1116 b,Kepler-1116,41.6977827,2454967.24364,0.00386
HD 141399 d,HD 141399,1069.8,2454755.6,6.8
NGTS-17 b,NGTS-17,3.24253,2458442.5219,0.0009
Kepler-159 c,Kepler-159,43.595792,2455027.54523,0.00135
HIP 67851 b,HIP 67851,89.23,,
Kepler-54 d,Kepler-54,20.995694,2454985.31995,0.0039
YZ Cet d,YZ Cet,4.65626,,
Kepler-1608 b,Kepler-1608,16.4735686,2454975.68505,0.00747
Kepler-152 b,Kepler-152,18.207973,2455018.84202,0.00069
HD 125612 b,HD 125612,557.69994,,
Kepler-1641 c,Kepler-1641,32.657212,2454985.875,0.117
K2-45 b,K2-45,1.7292684,2456809.52604,0.00018
WASP-114 b,WASP-114,1.5487743,2456667.73582,0.00021
Kepler-968 c,Kepler-968,5.709404918,2454970.1221,0.00134
HD 165131 b,HD 165131,2342.6,,
WASP-105 b,WASP-105,7.87288,2456600.0765,0.0002
WASP-91 b,WASP-91,2.798581,2456297.719,0.0002
G 268-110 b,G 268-110,1.43263,2457613.435,0.094
Kepler-1463 b,Kepler-1463,25.15864,2454986.0506,0.0133
Kepler-712 c,Kepler-712,226.89047,2455040.36031,0.00474
Kepler-1948 b,Kepler-1948,15.57129955,2454969.58514,0.00487
Kepler-146 c,Kepler-146,76.732171,2455033.67082,0.00387
Kepler-711 b,Kepler-711,23.58914398,2455006.82112,0.00217
Kepler-1080 b,Kepler-1080,77.2548396,2454992.32241,0.00314
WASP-113 b,WASP-113,4.54216874538,2457197.097459,4e-05
Kepler-248 c,Kepler-248,16.239494,2455008.56901,0.00079
HD 133131 A c,HD 133131 A,3568.0,,
Kepler-1319 b,Kepler-1319,2.886762645,2454964.66581,0.00114
Kepler-678 b,Kepler-678,7.27503724,2455002.994868,0.000456
Kepler-1535 b,Kepler-1535,138.9442,2454986.90997,0.00632
Kepler-39 b,Kepler-39,21.08721,2455942.60708,0.00024
Kepler-1532 b,Kepler-1532,1.093663559,2454965.47329,0.00167
Kepler-808 b,Kepler-808,0.631332353,2454966.944034,0.000442
KELT-10 b,KELT-10,4.1662739,2457066.72045,0.00027
WASP-119 b,WASP-119,2.49979,2456537.547,0.002
WASP-69 b,WASP-69,3.86813881,2455748.83428,0.00013
WASP-94 A b,WASP-94 A,3.95019,2458300.64763,0.00013
TOI-682.01,TOI-682,6.8392388,2460037.259934,0.0016046
TOI-7384 b,TOI-7384,6.2340258,2459565.10114,0.00018
Kepler-335 c,Kepler-335,67.844469,2454982.49928,0.01285
TOI-1453 b,TOI-1453,4.3135225,2459392.90013,0.00083
TOI-2141 b,TOI-2141,18.261608,2458992.502,0.0014
TOI-763 b,TOI-763,5.6057,2458572.102,0.0031
Kepler-94 c,Kepler-94,820.3,,
GJ 1132 b,GJ 1132,1.62892911,2459280.98988,0.00013
Kepler-966 b,Kepler-966,99.747622,2455041.39537,0.00292
EPIC 220492298 b,EPIC 220492298,0.762406,2457431.67734,0.0037
HATS-28 b,HATS-28,3.1810781,2457034.283,0.00046
HATS-29 b,HATS-29,4.6058749,2457031.95618,0.00038
Kepler-1517 b,Kepler-1517,5.546083665,2454966.50335,0.00105
WASP-54 b,WASP-54,3.69364,2459163.93328,0.00018
HD 63935 b,HD 63935,9.058807,2458494.44674,0.00094
WASP-149 b,WASP-149,1.332813,2457757.6245,8e-05
K2-403 b,K2-403,33.589979,2457908.9613,0.0014
Kepler-260 c,Kepler-260,76.050178,2454994.71209,0.00705
Kepler-140 c,Kepler-140,91.353282,2455022.60562,0.00874
HATS-15 b,HATS-15,1.74748753,2456387.21161,0.00015
TOI-2128 b,TOI-2128,16.34136,2458987.2663,0.0017
MASCARA-1 b,MASCARA-1,2.14877381,2458833.488151,9.1e-05
Kepler-14 b,Kepler-14,6.790123,2454971.08737,0.00018
K2-24 c,K2-24,42.3391,2456915.4485,0.0078
WASP-129 b,WASP-129,5.748145,2457027.4373,0.0002
WASP-124 b,WASP-124,3.37265,2457028.5834,0.0001
HATS-23 b,HATS-23,2.1605156,2457072.85266,0.0007
Kepler-941 b,Kepler-941,17.42395198,2454981.82645,0.00454
Kepler-85 c,Kepler-85,12.51,2454972.41628,0.00372
Kepler-734 b,Kepler-734,6.104852856,2455002.573341,0.000347
GJ 2030 b,GJ 2030,2.38129,,
KELT-9 b,KELT-9,1.4811235,2457095.68572,0.00014
NGTS-1 b,NGTS-1,2.647298,2457720.6593965,0.00062
K2-157 d,K2-157,66.5,2458589.3,1.7
Kepler-599 b,Kepler-599,15.65562652,2455003.78357,0.00153
HATS-52 b,HATS-52,1.36665436,2456929.03039,0.00033
HATS-53 b,HATS-53,3.8537768,2457236.75653,0.00049
WASP-139 b,WASP-139,5.924262,2457196.7933,0.0003
WASP-142 b,WASP-142,2.052868,2457007.7779,0.0004
Kepler-1203 b,Kepler-1203,0.588000765,2454965.059132,0.000817
Kepler-1720 b,Kepler-1720,12.70639992,2455013.63164,0.0011
HD 4732 c,HD 4732,3184.2,,
Kepler-549 b,Kepler-549,42.9495649,2454986.73762,0.00267
Kepler-19 c,Kepler-19,28.731,,
Kepler-1727 b,Kepler-1727,9.029299736,2455010.20422,0.00142
ITG 15 b,ITG 15 A,,,
Kepler-531 b,Kepler-531,29.88485741,2455006.194425,0.000896
Kepler-1182 b,Kepler-1182,11.17394617,2454967.70408,0.00473
KELT-19 A b,KELT-19 A,4.6117093,2457281.249537,0.000361
KELT-21 b,KELT-21,3.6127647,2457295.93434,0.00041
HD 37124 b,HD 37124,154.378,2454920.13,0.97
Kepler-513 b,Kepler-513,28.86235584,2455011.48474,0.00177
HD 330075 b,HD 330075,3.38773,,
Kepler-1329 b,Kepler-1329,9.33646594,2454973.68079,0.0028
K2-61 b,K2-61,2.57336,2456983.214,0.0022
Kepler-825 c,Kepler-825,8.1818246,2454967.81479,0.00206
Kepler-382 b,Kepler-382,5.262155,2454969.36774,0.00573
K2-165 c,K2-165,4.382745,2457584.21311,0.004817
WASP-138 b,WASP-138,3.634433,2457326.62183,0.000319
XO-6 b,XO-6,3.7650007,2456652.71245,0.00055
Qatar-3 b,Qatar-3,2.5079204,2457302.453004,0.0001
Kepler-19 d,Kepler-19,62.95,,
Kepler-1191 b,Kepler-1191,5.60014851,2454968.96163,0.00302
Kepler-1891 b,Kepler-1891,4.02229023,2454968.17317,0.00191
WASP-53 b,WASP-53,3.3098443,2455943.56695,0.00011
WASP-53 c,WASP-53,2840.0,,
K2-198 b,K2-198,17.0428683,2457204.5687,0.00014
Kepler-1456 b,Kepler-1456,18.1373829,2454969.80802,0.00949
Kepler-529 b,Kepler-529,1.980357663,2455003.139026,0.000879
11 UMi b,11 UMi,516.21997,,
Kepler-835 b,Kepler-835,11.41909375,2455019.30972,0.00422
Kepler-1666 c,Kepler-1666,40.7157,2454979.36407,0.00337
Kepler-690 b,Kepler-690,7.748094374,2455007.997431,0.000787
Kepler-136 b,Kepler-136,11.5789,2455008.58649,0.00139
Kepler-775 b,Kepler-775,0.974868926,2454966.076177,0.000693
KIC 10068024 b,KIC 10068024,2.073549,,
HATS-34 b,HATS-34,2.1061607,2456634.85732,0.00075
HATS-35 b,HATS-35,1.8209993,2456981.80199,0.00041
WASP-81 b,WASP-81,2.7164762,2456195.57462,0.00023
Kepler-357 b,Kepler-357,6.475434,2454970.57941,0.00323
Kepler-23 d,Kepler-23,15.27,2454980.58105,0.00205
Kepler-1510 b,Kepler-1510,84.703921,2454985.1859,0.0203
Kepler-1324 b,Kepler-1324,4.115844679,2454967.11946,0.00177
HIP 67851 c,HIP 67851,3128.41,,
Kepler-110 b,Kepler-110,12.691112,2454970.12296,0.00166
K2-325 b,K2-325,6.93,2457743.818,
Kepler-716 c,Kepler-716,3.96999,2454970.75741,0.00283
Kepler-1850 b,Kepler-1850,1.385800004,2454968.4886,0.0027
HD 163607 b,HD 163607,75.2203,,
HD 44219 b,HD 44219,472.0,,
KELT-1 b,KELT-1,1.217514,2455914.1628,0.0023
HATS-50 b,HATS-50,3.8297015,2456870.34792,0.00068
WASP-153 b,WASP-153,3.332609,2453142.542,0.003
Kepler-1365 b,Kepler-1365,7.69993485,2454967.39328,0.0057
HD 170469 b,HD 170469,1145.0,2453003.0,71.0
Kepler-341 d,Kepler-341,27.666313,2454976.86829,0.0071
Kepler-977 b,Kepler-977,26.85328322,2454976.31116,0.00194
HD 98219 b,HD 98219,433.8,,
HAT-P-31 b,HAT-P-31,5.00542,2458940.75332,0.00034
WASP-131 b,WASP-131,5.3220125,2458282.2588,0.00019
WASP-103 b,WASP-103,0.925542,2456459.59957,0.00075
KELT-16 b,KELT-16,0.9689951,2457247.24791,0.00019
GJ 393 b,GJ 393,7.02679,,
Kepler-879 b,Kepler-879,33.3855938,2454981.92796,0.00332
Kepler-1933 b,Kepler-1933,4.943290234,2454968.57568,0.00241
Kepler-1641 b,Kepler-1641,19.672266,2454967.3056,0.0688
GJ 687 b,GJ 687,38.142,2454481.07,0.81
Kepler-23 b,Kepler-23,7.1,2454971.32271,0.00206
Kepler-554 b,Kepler-554,1.902208556,2455003.44979,0.000174
HD 159868 c,HD 159868,351.0,,
XO-2 S c,XO-2 S,120.8,,
TOI-5388.01,TOI-5388,2.5946748,2459348.07817,0.00052
TOI-1238 c,TOI-1238,3.294736,2458707.352,0.002
Kepler-1331 b,Kepler-1331,0.789161653,2454964.5051,0.00134
Kepler-1246 b,Kepler-1246,11.32271513,2454969.05664,0.00543
Kepler-287 b,Kepler-287,20.342199,2454970.69875,0.00254
Kepler-432 c,Kepler-432,406.2,,
HD 102843 b,HD 102843,3090.942,,
K2-155 b,K2-155,6.342,2457818.7153,0.0021
Kepler-162 c,Kepler-162,19.446355,2455003.10194,0.00131
Kepler-603 d,Kepler-603,6.2171292,2454964.72164,0.00566
Kepler-139 b,Kepler-139,15.771044,2455017.90582,0.0013
K2-155 d,K2-155,40.718,2457782.8324,0.0048
Kepler-1443 b,Kepler-1443,2.41811321,2454965.38281,0.00474
Kepler-48 c,Kepler-48,9.67395,2454958.33925,
47 UMa b,47 UMa,1078.0,2454415.6,3.0
47 UMa c,47 UMa,2391.0,2455651.0,59.0
47 UMa d,47 UMa,14002.0,2451820.0,170.0
55 Cnc b,55 Cnc,14.651552,2455495.595,0.012
55 Cnc c,55 Cnc,44.3936,2455491.23,0.34
55 Cnc d,55 Cnc,4799.0,2451517.8,20.0
55 Cnc e,55 Cnc,0.7365474,2457063.2096,0.0006
55 Cnc f,55 Cnc,260.58,2455236.4,2.6
61 Vir b,61 Vir,4.215,2455200.597,0.05
61 Vir c,61 Vir,38.021,2455036.24,0.3
61 Vir d,61 Vir,123.01,2455245.8,2.9
eps Eri b,eps Eri,2671.0,2460017.0,76.0
HD 102365 b,HD 102365,122.1,,
HD 10647 b,HD 10647,989.2,2452357.0,25.0
HD 136352 b,HD 136352,11.57797,2458944.3726,0.0015
HD 136352 c,HD 136352,27.59221,2458954.4099,0.00052
HD 136352 d,HD 136352,107.245,2459009.7759,0.0101
HD 147513 b,HD 147513,528.4,,
HD 160691 b,HD 160691,645.0,2453765.6,2.3
HD 160691 c,HD 160691,3947.0,2453237.0,19.0
HD 160691 d,HD 160691,9.6392,2455205.15,0.27
HD 160691 e,HD 160691,307.9,2454483.8,1.7
HD 190360 b,HD 190360,2854.0,2456762.4,6.9
HD 190360 c,HD 190360,17.111,2455198.61,0.19
HD 192310 b,HD 192310,74.72,2455767.85,0.68
HD 192310 c,HD 192310,525.8,2455256.0,12.0
HD 20794 b,HD 20794,18.314,2460383.26,0.54
HD 20794 d,HD 20794,89.68,2460356.2,5.2
HD 3651 b,HD 3651,62.25,2454414.1,0.78
HD 39091 b,HD 39091,2088.8,2458632.6,1.1
HD 69830 b,HD 69830,8.667,2455995.87,0.13
HD 69830 c,HD 69830,31.56,2455197.28,0.65
HD 69830 d,HD 69830,197.0,2455304.1,10.0
HR 810 b,HR 810,302.79999,2451908.6,3.7
rho CrB b,rho CrB,39.8438,2455479.62,0.29
ups And b,ups And,4.617033,2453335.89,0.01
ups And c,ups And,241.258,2454652.2,1.2
ups And d,ups And,1276.46,2455937.3,7.2
HD 219134 b,HD 219134,3.092926,2457126.69913,0.00087
HD 219134 c,HD 219134,6.76458,2457474.04591,0.00088
HD 219134 d,HD 219134,46.859,2455207.93,0.7
HD 219134 f,HD 219134,22.717,2455210.72,0.66
HD 219134 g,HD 219134,94.2,,
HD 219134 h,HD 219134,2247.0,2456761.0,20.0
rho CrB c,rho CrB,102.19,2455629.3,8.6
HAT-P-67 b,HAT-P-67,4.8101069,2459010.99174,0.00017
HD 20794 e,HD 20794,147.02,,
tau Cet g,tau Cet,20.0,,
tau Cet h,tau Cet,49.41,,
tau Cet e,tau Cet,162.87,,
tau Cet f,tau Cet,636.13,,
pi Men c,HD 39091,6.2678399,2458425.789204,0.000279
GJ 411 b,GJ 411,12.9394,2456305.38,0.3
GJ 887 b,GJ 887,9.262,2455197.14,0.25
GJ 887 c,GJ 887,21.789,2456177.42,0.61
HD 141004 b,HD 141004,15.5083,2456704.33,0.55
HD 95735 c,GJ 411,2946.0,2457205.0,98.0
TOI-1518 b,TOI-1518,1.90261131,2459983.791942,6.6e-05
HD 189567 b,HD 189567,14.288,2455477.54,0.42
HD 189567 c,HD 189567,33.688,2455187.3,1.7
pi Men d,HD 39091,124.64,2455218.6,4.1
GJ 3090 b,GJ 3090,2.85310198,2458356.15322,0.00023
TOI-1774.01,TOI-1774,16.70988,2459674.4131,0.0005
TOI-2145 b,TOI-2145,10.261128,2458982.49662,0.00055
HD 140901 b,HD 140901,9.02378,,
HD 140901 c,HD 140901,14386.0,,
AF Lep b,AF Lep,8905.0,2456700.0,800.0
rho CrB d,rho CrB,282.2,2455583.0,54.0
rho CrB e,rho CrB,12.949,2455498.5,4.6
HD 20794 f,HD 20794,647.6,2459933.0,22.0
55 Cnc B b,55 Cnc B,6.7994,2455495.7,0.84
55 Cnc B c,55 Cnc B,33.747,2455491.8,4.1
GJ 3090 c,GJ 3090,15.9407,2458350.83,0.61
HD 85426 c,TOI-1774,35.73,2459608.0,1.0
GJ 4274 b,GJ 4274,1.6339,2460115.047,0.035
GJ 4274 c,GJ 4274,69.57,2460097.87,4.58
Kepler-1369 b,Kepler-1369,25.873148,2454976.27938,0.00562
XO-3 b,XO-3,3.19154,2459936.098,0.000109
Kepler-1644 b,Kepler-1644,21.0907758,2454966.96197,0.00442
Kepler-1249 b,Kepler-1249,24.3347127,2454980.4084,0.01
WASP-78 b,WASP-78,2.17518,2457966.18625,0.00017
WASP-39 b,WASP-39,4.0552941,2455342.96913,0.00063
WASP-36 b,WASP-36,1.53736596,2455569.83771,0.00046
WASP-43 b,WASP-43,0.813475,2455528.86774,0.00014
GJ 1132 c,GJ 1132,8.929,,
KIC 9663113 b,KIC 9663113,572.3847,2455139.506,0.004
Kepler-12 b,Kepler-12,4.4379629,2455004.00915,1e-05
HAT-P-24 b,HAT-P-24,3.35524,2458491.695717,0.00013807
Kepler-792 b,Kepler-792,11.30119217,2454967.92026,0.00448
Kepler-539 b,Kepler-539,125.63243,2455588.871,0.003
K2-165 d,K2-165,14.101361,2457586.7581,0.002225
Kepler-1254 c,Kepler-1254,3.60084276,2454967.03446,0.00388
Kepler-1674 b,Kepler-1674,62.5611,2455011.40719,0.00382
WASP-189 b,WASP-189,2.724033,2458926.541696,6.5e-05
WASP-41 b,WASP-41,3.0524,2457077.229441,7.1e-05
Kepler-255 c,Kepler-255,9.946047,2455004.70016,0.0021
Kepler-1238 b,Kepler-1238,4.14787559,2454968.53534,0.00684
Ross 176 b,Ross 176,5.0066338,2459829.7627,0.0008
TOI-5422 b,TOI-5422,5.377219,2459961.67611,0.00072
Kepler-5 b,Kepler-5,3.5484657,2454955.90144,2e-05
WASP-107 c,WASP-107,1088.0,2458521.0,65.0
WASP-18 c,WASP-18,2.1558,,
TOI-1743 b,TOI-1743,4.266046,2459575.1723,0.00027
Proxima Cen d,Proxima Cen,5.12338,,
HAT-P-2 c,HAT-P-2,8500.0,,
HATS-41 b,HATS-41,4.193649,2456795.724,0.0014
Kepler-933 b,Kepler-933,14.20443009,2454975.73343,0.00341
